Time,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21,node22,node23,node24,node25,node26,node27,node28,node29,node30,node31,node32,node33,node34,node35,node36,node37,node38,node39,node40,node41,node42,node43,node44,node45,node46,node47,node48,node49,node50,node51,node52,node53,node54,node55,node56,node57,node58,node59,node60,node61,node62,node63,node64,node65,node66,node67,node68,node69,node70,node71,node72,node73,node74,node75,node76,node77,node78,node79,node80,node81,node82,node83,node84,node85,node86,node87,node88,node89,node90,node91,node92,node93,node94,node95,node96,node97,node98,node99,node100
0,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,9,9,13,11,4,12,13,10,7,14,9,0,2,6,8,9,2,14,10,7,15,14,6,0,9,12,15,0,15,11,4,5,0,3,12,7,5,13,5,15,2,8,4,5,3,11,0,3,1,14,3,4,5,2,12,6,9,10,6,15,11,10,13,5,13,5,2,2,13,15,4,0,6,1,14,2,14,10,4,12,4,5,8,13
1,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,15,11,2,3,0,14,2,9,7,5,9,4,8,0,1,5,7,12,3,12,4,6,7,10,2,15,10,2,3,4,15,12,11,5,12,0,5,14,10,7,0,14,14,1,11,9,11,3,3,11,10,0,2,10,5,9,4,4,5,5,0,1,11,15,4,9,5,7,6,3,4,9,8,9,8,0,12,7,12,7,7,2,4,5
2,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,2,3,13,11,12,6,11,9,11,6,11,2,14,10,2,0,14,11,4,11,4,13,11,5,10,5,10,1,2,8,2,11,7,12,14,8,7,12,1,3,15,4,3,9,1,8,5,12,10,3,14,1,1,9,10,14,8,11,1,15,13,15,8,12,4,0,2,4,5,8,1,3,3,0,14,11,10,15,2,11,7,9,11,4
3,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,0,5,11,12,11,7,2,5,5,12,7,0,10,6,14,14,14,7,14,10,0,7,13,15,1,11,0,11,10,9,0,12,15,8,3,10,10,3,1,10,0,3,4,11,6,14,11,5,5,8,11,9,11,0,3,14,9,1,0,0,11,5,10,5,6,10,0,8,6,15,12,3,9,12,14,11,8,7,4,3,13,5,0,5
4,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,0,6,2,7,14,13,0,8,6,14,9,9,0,6,4,2,2,10,4,12,3,2,0,5,6,10,9,4,6,2,1,9,8,1,3,6,3,2,0,0,3,10,3,6,12,14,4,10,9,2,7,12,10,1,2,3,4,12,2,13,10,9,2,14,4,6,7,0,8,9,7,10,6,0,6,6,6,10,9,0,13,10,0,10
5,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,14,8,12,1,14,3,11,2,2,15,15,9,2,10,4,11,3,0,2,10,13,13,8,7,5,11,11,5,7,5,2,5,4,15,1,0,2,14,4,0,6,0,8,12,5,0,11,8,5,6,10,0,7,4,9,9,5,6,7,8,14,0,7,11,6,10,6,2,15,0,14,14,12,12,15,1,14,10,1,1,11,5,6,0
6,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,15,14,14,4,14,3,5,5,7,13,3,8,12,14,0,3,10,4,13,7,0,11,11,6,12,5,9,4,9,13,10,0,0,11,7,1,10,1,2,11,15,7,3,11,10,0,6,14,8,15,11,0,10,10,2,8,13,10,5,10,15,13,11,10,9,4,5,12,9,5,9,0,5,2,12,0,1,13,11,0,3,9,2,10
7,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,0,13,8,11,13,0,8,4,9,2,14,1,0,13,6,12,7,13,14,7,10,13,10,13,0,14,5,13,11,6,3,0,8,7,14,7,15,4,12,10,7,3,14,1,10,10,2,6,4,15,5,12,13,5,2,5,12,14,8,14,10,7,5,14,8,13,7,6,14,11,7,6,5,14,6,2,12,14,15,4,2,6,7,0
8,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,7,13,7,12,5,12,13,8,4,1,14,11,9,8,3,14,7,0,0,5,15,0,9,3,12,4,6,5,11,8,5,5,10,0,14,1,4,5,10,12,13,7,2,8,6,11,5,12,0,15,13,11,8,5,0,12,4,1,9,13,8,10,4,0,12,5,13,3,6,14,5,1,12,10,12,9,11,5,13,1,11,10,0,7
9,9,12,2,4,4,1,1,1,7,2,0,0,0,18,4,17,7,6,3,5,15,0,6,14,13,11,7,6,4,5,1,13,6,15,14,15,2,15,1,2,4,14,0,13,7,6,3,0,11,11,11,0,12,2,11,7,0,8,10,2,0,1,0,3,3,3,11,12,6,1,15,15,11,11,15,14,10,7,2,13,9,5,15,15,1,8,12,15,13,2,11,6,15,5,9,15,2,4,7,9
