Time,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16
0,9.0,12.0,2.0,4.0,4.0,1.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,18.0,4.0,17.0
1,8.0,12.0,2.0,3.0,5.0,1.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,18.0,4.0,18.0
2,8.0,13.0,2.0,4.0,5.0,0.0,1.0,2.0,7.0,2.0,0.0,0.0,0.0,19.0,4.0,18.0
3,9.0,14.0,3.0,3.0,5.0,0.0,1.0,2.0,8.0,2.0,0.0,2.0,0.0,20.0,4.0,18.0
4,8.0,14.0,4.0,3.0,4.0,0.0,0.0,2.0,8.0,1.0,0.0,2.0,0.0,20.0,4.0,18.0
5,7.0,15.0,4.0,3.0,5.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,20.0,4.0,18.0
6,7.0,15.0,4.0,2.0,4.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,20.0,4.0,19.0
7,8.0,15.0,4.0,4.0,4.0,2.0,0.0,1.0,8.0,1.0,0.0,2.0,1.0,20.0,4.0,19.0
8,8.0,15.0,4.0,6.0,4.0,2.0,0.0,2.0,8.0,1.0,0.0,2.0,2.0,20.0,4.0,20.0
9,8.0,16.0,5.0,7.0,4.0,2.0,1.0,3.0,9.0,1.0,0.0,2.0,2.0,20.0,3.0,20.0
10,8.0,14.0,5.0,8.0,4.0,2.0,1.0,3.0,8.0,1.0,0.0,2.0,3.0,20.0,3.0,19.0
11,9.0,12.0,6.0,8.0,6.0,2.0,1.0,3.0,8.0,1.0,0.0,1.0,3.0,21.0,3.0,20.0
12,9.0,12.0,6.0,8.0,4.0,2.0,1.0,3.0,8.0,1.0,0.0,1.0,3.0,21.0,3.0,21.0
13,9.0,12.0,6.0,8.0,5.0,1.0,1.0,3.0,8.0,1.0,0.0,1.0,3.0,21.0,3.0,22.0
14,10.0,12.0,6.0,7.0,5.0,1.0,1.0,3.0,7.0,1.0,0.0,1.0,4.0,21.0,3.0,23.0
15,10.0,11.0,6.0,7.0,5.0,2.0,1.0,3.0,7.0,1.0,0.0,1.0,4.0,21.0,3.0,23.0
16,10.0,11.0,6.0,7.0,5.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,4.0,21.0,3.0,23.0
17,11.0,13.0,5.0,7.0,7.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,4.0,20.0,3.0,23.0
18,10.0,13.0,4.0,7.0,7.0,0.0,1.0,3.0,6.0,1.0,0.0,1.0,4.0,19.0,3.0,22.0
19,11.0,13.0,4.0,6.0,7.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,4.0,19.0,3.0,21.0
